# Game Items
# KEY DEFAULT_VALUE

# System variables, do not touch
playerName Ramos
canTravel_City_Iberty_CityHall 1
canTravel_City_Iberty_Catacombs 1
canTravel_City_Iberty_Port 1

canTravel_City_Kalia_Region 1
canTravel_City_Kalia_Palace 1
canTravel_City_Kalia_Shop 1
canTravel_City_Kalia_Plaza 1
canTravel_City_Kalia_Park 1
canTravel_City_Kalia_Lighthouse 1
canTravel_City_Kalia_Docks 1
canTravel_City_Kalia_Jackwell 1
canTravel_City_Kalia_BarGUARD 1
canTravel_City_Kalia_RebelHQ 1

canTravel_Region_Forest_ToKalia 1
canTravel_Region_Forest_ToMarklicht 1
canTravel_Region_Forest_ToOrkva 1
canTravel_Region_Forest_Field 1
canTravel_Region_Forest_OrderHQ 1
canTravel_Region_Forest_Crag 1
canTravel_Region_Forest_Cavern 1
canTravel_Region_Forest_Vasalia 1
canTravel_Region_Forest_Camp1 1
canTravel_Region_Forest_Camp2 1
canTravel_Region_Forest_Camp3 1
canTravel_Region_Forest_Village 1

canTravel_Region_Orkva_ToForest 1
canTravel_Region_Orkva_ToMirageIsland 1
canTravel_Region_Orkva_FortWall 1
canTravel_Region_Orkva_Vorlan 1
canTravel_Region_Orkva_Tolau 1
canTravel_Region_Orkva_Farm 1
canTravel_Region_Orkva_MilitaryBase 1
canTravel_Region_Orkva_Village 1
canTravel_Region_Orkva_Okville 1
canTravel_Region_Orkva_Prison 1
canTravel_Region_Orkva_Shrine 1

canTravel_City_Vorlan_ToOrkva 1
canTravel_City_Vorlan_Shop 1
canTravel_City_Vorlan_Inn 1
canTravel_City_Vorlan_Checkpoint 1
canTravel_City_Vorlan_CityHall 1
canTravel_City_Vorlan_Plaza 1

canTravel_City_Okville_ToOrkva 1
canTravel_City_Okville_Shop 1
canTravel_City_Okville_TrainStation 1
canTravel_City_Okville_Shrine 1
canTravel_City_Okville_CityHall 1

canTravel_City_Tolau_ToOrkva 1
canTravel_City_Tolau_Shop 1
canTravel_City_Tolau_Boathouse 1
canTravel_City_Tolau_Lighthouse 1
canTravel_City_Tolau_Port 1
canTravel_City_Tolau_Plaza 1
canTravel_City_Tolau_Courthouse 1
canTravel_City_Tolau_CityHall 1
canTravel_City_Tolau_Residences 1
canTravel_City_Tolau_Inn 1

canTravel_Region_MirageIsland_ToOrkva 1
canTravel_Region_MirageIsland_Cottage 1
canTravel_Region_MirageIsland_Forest 1
canTravel_Region_MirageIsland_HopeHarbor 1

canTravel_City_HopeHarbor_ToIsland 1
canTravel_City_HopeHarbor_Docks 1
canTravel_City_HopeHarbor_Lighthouse 1
canTravel_City_HopeHarbor_Inn 1

canTravel_Region_Marklicht_ToForest 1
canTravel_Region_Marklicht_BorderFortress 1
canTravel_Region_Marklicht_Forest 1
canTravel_Region_Marklicht_LibertFarm 1
canTravel_Region_Marklicht_Libertville 1
canTravel_Region_Marklicht_LibertFort 1
canTravel_Region_Marklicht_BorderWall 1
canTravel_Region_Marklicht_Mountains 1

canTravel_City_Libertville_ToMarklicht 1
canTravel_City_Libertville_TrainStation 1
canTravel_City_Libertville_Inn 1
canTravel_City_Libertville_Shop 1
canTravel_City_Libertville_Plaza 1
canTravel_City_Libertville_MilitaryAcademy 1
